date,symbol,id,price
2022-10-21,usdp,paxos-standard,0.9959723269004578
2022-10-21,tusd,true-usd,0.9981748708858484
2022-10-21,rep,augur,6.526555514808401
2022-10-21,uni,uniswap,6.086067562915669
2022-10-21,usdc,usd-coin,0.9989879275636953
2022-10-21,sushi,sushi,1.3660063987403306
2022-10-21,eth,ethereum,1282.0426467759612
2022-10-21,dai,dai,0.9993848297255146
2022-10-21,bat,basic-attention-token,0.2735004962368548
2022-10-21,comp,compound-governance-token,49.14255884895624
2022-10-21,fei,fei-usd,0.9900901874362212
2022-10-21,yfi,yearn-finance,7508.572300445667
2022-10-21,zrx,0x,0.2434499495407743
2022-10-21,wbtc,wrapped-bitcoin,19048.548833120694
2022-10-21,aave,aave,80.80390804463997
2022-10-21,usdt,tether,0.999756983687424
2022-10-21,link,chainlink,6.66086860296138
2022-10-22,usdp,paxos-standard,0.9974855304557396
2022-10-22,tusd,true-usd,0.9987969455068586
2022-10-22,rep,augur,6.461352649525372
2022-10-22,uni,uniswap,6.031616745696729
2022-10-22,usdc,usd-coin,0.9990341380827902
2022-10-22,sushi,sushi,1.344798847894249
2022-10-22,eth,ethereum,1299.8019052506386
2022-10-22,dai,dai,0.9993740754736672
2022-10-22,bat,basic-attention-token,0.2776339582980609
2022-10-22,comp,compound-governance-token,50.10088191888385
2022-10-22,fei,fei-usd,0.9996395030072666
2022-10-22,yfi,yearn-finance,7621.969680656108
2022-10-22,zrx,0x,0.2407687071553143
2022-10-22,wbtc,wrapped-bitcoin,19150.782044600823
2022-10-22,aave,aave,82.02465340520665
2022-10-22,usdt,tether,1.0000824534348054
2022-10-22,link,chainlink,6.81392411298691
2022-10-23,usdp,paxos-standard,0.9960716984080104
2022-10-23,tusd,true-usd,0.999554803095311
2022-10-23,rep,augur,6.573187973194733
2022-10-23,uni,uniswap,6.091262338274946
2022-10-23,usdc,usd-coin,0.9995501903468564
2022-10-23,sushi,sushi,1.305043702089556
2022-10-23,eth,ethereum,1313.767778723105
2022-10-23,dai,dai,1.000054264735741
2022-10-23,bat,basic-attention-token,0.2768767276332173
2022-10-23,comp,compound-governance-token,50.42118789959826
2022-10-23,fei,fei-usd,0.9859429001497942
2022-10-23,yfi,yearn-finance,7594.670154006107
2022-10-23,zrx,0x,0.2429206663993027
2022-10-23,wbtc,wrapped-bitcoin,19174.923085975497
2022-10-23,aave,aave,82.06467884894059
2022-10-23,usdt,tether,0.9999683452111616
2022-10-23,link,chainlink,6.871912784532574
2022-10-24,usdp,paxos-standard,0.99521329185936
2022-10-24,tusd,true-usd,0.999562987535066
2022-10-24,rep,augur,6.716917336827936
2022-10-24,uni,uniswap,6.28737757633336
2022-10-24,usdc,usd-coin,1.0013627229950774
2022-10-24,sushi,sushi,1.440806414425255
2022-10-24,eth,ethereum,1364.4868713063736
2022-10-24,dai,dai,1.000789552081964
2022-10-24,bat,basic-attention-token,0.2829426281030952
2022-10-24,comp,compound-governance-token,51.30914329195728
2022-10-24,fei,fei-usd,1.0009257018005944
2022-10-24,yfi,yearn-finance,7785.978737420525
2022-10-24,zrx,0x,0.2469543566681709
2022-10-24,wbtc,wrapped-bitcoin,19567.006741252168
2022-10-24,aave,aave,88.97986492897584
2022-10-24,usdt,tether,0.9994351849351344
2022-10-24,link,chainlink,7.060859855271935
2022-10-25,usdp,paxos-standard,0.9948464693004762
2022-10-25,tusd,true-usd,0.9989794365106158
2022-10-25,rep,augur,6.724900798519437
2022-10-25,uni,uniswap,6.134578583566461
2022-10-25,usdc,usd-coin,0.9997577077333938
2022-10-25,sushi,sushi,1.41770400991539
2022-10-25,eth,ethereum,1343.334491985092
2022-10-25,dai,dai,0.9992661050155806
2022-10-25,bat,basic-attention-token,0.2778902221465291
2022-10-25,comp,compound-governance-token,49.807340540000354
2022-10-25,fei,fei-usd,0.99270296407334
2022-10-25,yfi,yearn-finance,7607.587955877835
2022-10-25,zrx,0x,0.2433956696212879
2022-10-25,wbtc,wrapped-bitcoin,19322.88695019772
2022-10-25,aave,aave,84.93960929196217
2022-10-25,usdt,tether,0.9989384081114514
2022-10-25,link,chainlink,6.903363002756089
2022-10-26,usdp,paxos-standard,0.997384458286286
2022-10-26,tusd,true-usd,0.9999899152221842
2022-10-26,rep,augur,7.022897958004474
2022-10-26,uni,uniswap,6.572516530111744
2022-10-26,usdc,usd-coin,0.9997724365831456
2022-10-26,sushi,sushi,1.5636434323569577
2022-10-26,eth,ethereum,1462.0489375629863
2022-10-26,dai,dai,0.9995734158146244
2022-10-26,bat,basic-attention-token,0.2867701829387394
2022-10-26,comp,compound-governance-token,50.70866101649488
2022-10-26,fei,fei-usd,1.026741767405907
2022-10-26,yfi,yearn-finance,8033.096145219342
2022-10-26,zrx,0x,0.2536701651095752
2022-10-26,wbtc,wrapped-bitcoin,20062.8265260825
2022-10-26,aave,aave,82.27674597273575
2022-10-26,usdt,tether,0.9998878276861548
2022-10-26,link,chainlink,7.078655797689723
2022-10-27,usdp,paxos-standard,0.9988840255220178
2022-10-27,tusd,true-usd,1.0003484519861985
2022-10-27,rep,augur,7.440887060717739
2022-10-27,uni,uniswap,6.719826319175614
2022-10-27,usdc,usd-coin,0.9998929966974234
2022-10-27,sushi,sushi,1.6697799505937752
2022-10-27,eth,ethereum,1568.7475855708392
2022-10-27,dai,dai,0.9997266961007468
2022-10-27,bat,basic-attention-token,0.2918655979316181
2022-10-27,comp,compound-governance-token,52.73803153755304
2022-10-27,fei,fei-usd,0.9974774443853396
2022-10-27,yfi,yearn-finance,8166.265607071255
